timestamp,brightness,japanese,english
17:36:27,46.0,うん？なんじゃ？,Hun? What's going on?
17:36:41,43.3,のう…・お主,Hmph... you
17:36:50,56.9,どこか行くところが あるんじゃないかの？,"Gonna go somewhere, aren't you?"
17:37:04,46.7,のう…・お主 どこか行くところが あるんじゃないかの？,"Hmph…· Are you going somewhere, aren't you?"
17:37:08,45.9,どこか行くところが あるんじゃないかの？,"Gonna go somewhere, aren't you?"
17:37:09,47.9,のう…・・お主 どこか行くところが あるんじゃないかの？,"Hmph…· Are you going somewhere, aren't you?"
17:37:10,53.7,どこか行くところが あるんじゃないかの？,"Gonna go somewhere, aren't you?"
17:38:49,57.1,うん？なんじゃ？,Hun? What's going on?
17:39:59,43.6,のう…・お主 どこか行くところが あるんじゃないかの？,"Hmph…· Are you going somewhere, aren't you?"
17:40:00,40.5,どこか行くところが あるんじゃないかの？,"Gonna go somewhere, aren't you?"
17:40:02,37.0,どこか行くところが あるんじゃないかの？,"Gonna go somewhere, aren't you?"
17:40:07,37.5,うん？なんじゃ？,Hun? What's going on?
17:40:13,67.8,たき火に ゆっくりあたって また焼きリンゴでも こしらえるとするかのう,"Warm up by the fire, take your time, and maybe bake some more apples."
17:40:22,68.2,うん？なんじゃ？,Hun? What's going on?
17:48:08,69.5,たき火に ゆっくりあたって また 焼きリンゴでも こしらえるとするかのう,"Warm up by the fire, take your time, and maybe bake some more apples."
17:49:09,68.1,たき火に ゆっくりあたって また 焼きリンゴでも こしらえるとするかのう,"Warm up by the fire, take your time, and maybe bake some more apples."
17:52:16,14.3,たき火に ゆっくりあたって また 焼きリンゴでも こしらえるとするかのう,"Warm up by the fire, take your time, and maybe bake some more apples."
